series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	410	127.8610254	36.45201023	KOR	Republic of Korea	1	PERCENT	Percentage	1.87611	1.86812	1.88554	1.88967	1.87149	1.8539	1.86322	1.86944	1.86933	1.86842	1.87951	1.87187	1.871714	2016	1.87187	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	414	47.49305029	29.53949468	KWT	Kuwait	1	PERCENT	Percentage	0.41794	0.41643	0.42124	0.41325	0.41566	0.41583	0.41302	0.41396	0.42387	0.44182	0.45735	0.47407	0.442214	2016	0.47407	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	417	74.52324839	41.46204516	KGZ	Kyrgyzstan	1	PERCENT	Percentage	3.80284	3.80811	3.81098	3.80928	3.79598	3.79023	3.78916	3.78945	3.7926	3.79648	3.78976	3.77986	3.78963	2016	3.77986	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	418	101.9901968	20.27482773	LAO	Lao People's Democratic Republic	1	PERCENT	Percentage	0.57232	0.56807	0.56576	0.56471	0.56829	0.5927	0.60995	0.64131	0.6718	0.69558	0.70714	0.71768	0.686702	2016	0.71768	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	422	35.89391711	33.92152458	LBN	Lebanon	1	PERCENT	Percentage	0.1779	0.17747	0.17913	0.17868	0.17605	0.17595	0.17589	0.17612	0.17602	0.1765	0.17182	0.17135	0.174362	2016	0.17135	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	426	28.25362195	-29.58041814	LSO	Lesotho	1	PERCENT	Percentage	0.14698	0.14558	0.15177	0.15687	0.16304	0.16951	0.17666	0.17597	0.17424	0.17149	0.16715	0.16271	0.170312	2016	0.16271	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	428	26.42461876	56.64196636	LVA	Latvia	1	PERCENT	Percentage	1.54696	1.54703	1.55376	1.55435	1.55314	1.54812	1.54353	1.53638	1.54238	1.54143	1.54387	1.55088	1.542988	2016	1.55088	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	430	-9.311879038	6.448381009	LBR	Liberia	1	PERCENT	Percentage	0.20163	0.19925	0.19924	0.19886	0.20028	0.20355	0.20558	0.20543	0.20666	0.20727	0.20709	0.20555	0.2064	2016	0.20555	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	434	18.0295985	27.04042819	LBY	Libya	1	PERCENT	Percentage	0.00336	0.00343	0.00349	0.00355	0.00361	0.00367	0.00367	0.00365	0.00363	0.00353	0.00344	0.00339	0.003528	2016	0.00339	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	438	9.552985019	47.14167005	LIE	Liechtenstein	1	PERCENT	Percentage	0.37936	0.37014	0.36515	0.3637	0.36829	0.36622	0.36931	0.3723	0.37384	0.36491	0.36138	0.35332	0.36515	2016	0.35332	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	440	23.90517807	55.33680309	LTU	Lithuania	1	PERCENT	Percentage	1.46297	1.46184	1.47229	1.47214	1.46645	1.4628	1.45778	1.44754	1.44664	1.45039	1.45415	1.46278	1.4523	2016	1.46278	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	442	6.092656563	49.77679538	LUX	Luxembourg	1	PERCENT	Percentage	0.20492	0.20424	0.21199	0.21176	0.20994	0.20507	0.20539	0.20159	0.20115	0.203	0.20645	0.20509	0.203456	2016	0.20509	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	446	113.5665388	22.1237259	MAC	China, Macao Special Administrative Region	1	PERCENT	Percentage																	
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	450	46.6982339	-19.38514785	MDG	Madagascar	1	PERCENT	Percentage	0.45658	0.45792	0.45991	0.46321	0.46008	0.45983	0.45702	0.45004	0.44208	0.43747	0.43326	0.43702	0.439974	2016	0.43702	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	454	33.4884625	-13.40819859	MWI	Malawi	1	PERCENT	Percentage	25.45829	25.46431	25.46159	25.46146	25.45715	25.45599	25.47307	25.45494	25.31512	25.27715	25.19669	25.19853	25.288486	2016	25.19853	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	458	116.8346314	5.452415309	MYS	Malaysia	1	PERCENT	Percentage	1.08148	1.07481	1.07266	1.08518	1.08935	1.09666	1.10384	1.12548	1.14263	1.15768	1.17644	1.18926	1.158298	2016	1.18926	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	462	73.09672546	-0.614385021	MDV	Maldives	1	PERCENT	Percentage	5.78747	5.78814	5.77277	5.80251	5.72817	5.63316	5.57173	5.58239	5.53862	5.5156	5.54885	5.57375	5.551842	2016	5.57375	Global Surface Water Explorer extraction for UN Environment	C
