"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"202","Sub-Saharan Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","62412828.12","131161603.42","124171085.12","118882191.35","79157760.73","221165237.75","200056669.11","224830149.28","259449513.79","280932199.79563",2015.0,"280932199.79563","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments received by countries in this group"
"223","Eastern Asia (excluding Japan and China)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"419","Latin America and the Caribbean","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","20004633.42","20630349.62","42946535.64","16641134.38","114752354.01","149983198.93","13348190.77","49661431.62","57617071.72","20684926.91478",2015.0,"20684926.91478","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments received by countries in this group"
"420","Latin America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","36843444.33","79595990.05","73682396.16","83255132.41","80692838.38","204740727.99","159824675.18","199650425.02","165688514.82","35992482.78018",2015.0,"35992482.78018","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments received by countries in this group"
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"513","Europe and Northern America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","4800037.91","17423292.39","11117055.61","14500451.58","25227472.09","51502710.2","17159644.69","21087085.39","19231514.22","19109820.49451",2015.0,"19109820.49451","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments received by countries in this group"
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"515","Developing regions","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","209165543.05","319002571.09","348615378.58","406650800.51","422747617.81","616990401.52","503796440.3","719242918.52","567230102.05","590631499.86059",2015.0,"590631499.86059","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments received by developing countries (based on MDG grouping) and all unallocated commitments"
"518","Eastern Asia (excluding Japan)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
