"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ModeOfTransportation_Code","ModeOfTransportation_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2016","Nature_Code_2016","Source_2016","TimeDetail_2016","Value_2016","Latest_Year","Latest_Value"
"AZE","50.01064725","40.39229544","31","Azerbaijan","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","4,491,000",2016.0,"4,491,000"
"ARG","-65.14563274","-35.19446255","32","Argentina","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","3,183,504",2016.0,"3,183,504"
"","","","34","Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","72,135,374",2016.0,"72,135,374"
"HND","-86.59974381","14.82243161","340","Honduras","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","1,083",2016.0,"1,083"
"HKG","114.0266445","22.41749934","344","China, Hong Kong Special Administrative Region","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","469,998,164",2016.0,"469,998,164"
"","","","35","South-Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","316,376,254",2016.0,"316,376,254"
"ISL","-19.02116966","64.79134763","352","Iceland","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","1,335,880",2016.0,"1,335,880"
"IND","79.3608464","22.34642074","356","India","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","57,611,445",2016.0,"57,611,445"
"AUS","134.3499412","-25.57717202","36","Australia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","168,419,151",2016.0,"168,419,151"
"IDN","113.9174","-0.994582204","360","Indonesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","33,261,960",2016.0,"33,261,960"
