"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"ARM","44.93839317","40.29499741","51","Armenia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","NULL","All population.","All population","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ITU estimate.","Ministry of Transport and Communications","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","National Statistical Service","National Statistical Service","ITU estimate.","National Statistical Service.","","","","","","","","","","","","","","","","","","1.3","1.6","2.0","4.6","4.9","5.3","5.6","6.0","6.2","15.3","25.0","32.0","37.5","41.9","54.6","59.1","64.3",2016.0,"64.3"
"","","","513","Europe and Northern America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","","","","","","","","","","","","","","","","","","23.9","28.5","36.3","41.5","45.4","49.0","51.3","57.0","59.3","60.8","64.9","66.1","70.9","71.9","74.0","75.7","77.5",2016.0,"77.5"
"BRB","-59.5346489","13.13648273","52","Barbados","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cable and Wireless (Barbados) Limited.","ITU estimate.","ITU estimate.","Ministry of Energy and Public Utilities.","National Council for Science and Technology (NCST).","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","4.0","11.9","27.8","39.7","49.8","52.5","55.3","58.2","61.4","64.7","65.1","66.5","71.2","71.8","75.2","76.1","79.5",2016.0,"79.5"
"","","","53","Australia and New Zealand","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","","","","","","","","","","","","","","","","","","46.9","52.8","59.1","61.0","61.8","63.0","66.5","69.5","71.7","75.2","76.7","79.8","79.4","83.3","84.2","85.2","88.3",2016.0,"88.3"
"CUW","-68.95033464","12.15058042","531","Curaçao","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","","","","","","","","","","","","","","","","","NULL","","","","","","","","","","","","","","","","","NA","","","","","","","","","","","","","","","","","ITU Estimate.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.9",2016.0,"61.9"
"ABW","-69.97050586","12.50878756","533","Aruba","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Servicio di Telecomunicacion di Aruba (SETAR).","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","15.4","17.1","18.8","20.8","23.0","25.4","28.0","30.9","52.0","58.0","62.0","69.0","74.0","78.9","83.8","88.7","93.5",2016.0,"93.5"
"BEL","4.660976456","50.64104975","56","Belgium","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","","","","","",""," Users in the last 3 months. Age 16-74."," Users in the last 3 months.","Population age 16-74.","Population age 16-74. Last three months. ","Population age 16-74. Last three months. ","Population age 16-74. Last three months. ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Institut belge des services postaux et des télécommunications (IBPT).","Institut belge des services postaux et des télécommunications (IBPT).","Institut belge des services postaux et des télécommunications ","Institut belge des services postaux et des télécommunications ","Institut belge des services postaux et des télécommunications ","ITU estimate.","ITU estimate.","ITU estimate.","Belgian Institute for Postal Services and Telecommunications ","Belgian Institute for Postal Services and Telecommunications ","Belgian Institute for Postal Services and Telecommunications ","Eurostat.","Eurostat.","Eurostat.","Eurostat","Eurostat.","Eurostat.","","","","","","","","","","","","","","","","","","29.4","31.3","46.3","50.0","53.9","55.8","59.7","64.4","66.0","70.0","75.0","81.6","80.7","82.2","85.0","85.1","86.5",2016.0,"86.5"
"FSM","158.225216","6.880670092","583","Micronesia (Federated States of)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ITU estimate.","Department of Transportation, Communications and Infrastructure","Department of Transportation, Communications and Infrastructure","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","3.7","4.7","5.6","9.2","11.0","11.9","12.8","13.6","14.5","15.4","20.0","22.8","26.0","27.8","29.7","31.5","33.4",2016.0,"33.4"
"MHL","171.0839119","7.110213497","584","Marshall Islands","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","National Telecommunications Authority.","National Telecommunications Authority.","National Telecommunications Authority.","National Telecommunications Authority.","National Telecommunications Authority.","National Telecommunications Authority.","National Telecommunications Authority.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","1.5","1.7","2.3","2.6","3.6","3.9","3.8","4.0","4.6","5.6","7.0","10.0","12.5","14.0","16.8","19.3","29.8",2016.0,"29.8"
"BMU","-64.78155012","32.27881922","60","Bermuda","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","","","","Population age 18+.","","NULL","","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","0","0","0","Bermuda Government Department of Statistics."," Bermuda Government Department of Statistics.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","","","","","","","","","","","","","","","","","","42.9","47.5","52.0","56.5","61.0","65.4","69.9","74.4","82.3","83.3","84.2","88.3","91.3","95.3","96.8","98.3","98.0",2016.0,"98.0"
"","","","62","Central and Southern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","","","","","","","","","","","","","","","","","","0.5","0.7","1.6","2.1","2.4","2.8","3.3","4.3","4.9","5.8","8.0","10.4","12.7","15.1","20.6","24.9","28.4",2016.0,"28.4"
"GNB","-14.40182514","12.11760394","624","Guinea-Bissau","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ITU estimate.","Instituto das Comunicaçoes da Guiné-Bissau.","Instituto das Comunicaçoes da Guiné-Bissau.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.2","0.3","1.0","1.4","1.8","1.9","2.1","2.2","2.4","2.3","2.5","2.7","2.9","3.1","3.3","3.5","3.8",2016.0,"3.8"
"BTN","90.45098484","27.39598568","64","Bhutan","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Country estimate. ","","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Bhutan InfoComm and Media Authority","Bhutan InfoComm and Media Authority","Bhutan InfoComm and Media Authority","Ministry of Information & Communications","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.4","0.9","1.7","2.4","3.2","3.8","4.5","5.9","6.6","7.2","13.6","14.4","15.6","22.4","30.3","39.8","41.8",2016.0,"41.8"
"AIA","-63.05651612","18.21525315","660","Anguilla","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","22.4","25.9","24.8","24.5","25.0","29.0","36.0","41.0","44.0","48.0","49.6","53.6","59.2","64.8","70.4","76.0","81.6",2016.0,"81.6"
"BOL","-64.66224284","-16.71273412","68","Bolivia (Plurinational State of)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","NULL","Population age 5+ in the last 12 months.","Population age 5+ in the last 3 months.","Population age 5+ in the last 3 months.","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SITTEL. ITU estimate.","SITTEL. ITU estimate.","SITTEL. ITU estimate.","Superintendencia de Telecomunicaciones.","Superintendencia de Telecomunicaciones.","Superintendencia de Telecomunicaciones.","Superintendencia de Telecomunicaciones.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Statistic National Institute","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","1.4","2.1","3.1","3.5","4.4","5.2","6.2","10.5","12.5","16.8","22.4","30.0","35.3","37.0","34.6","35.6","39.7",2016.0,"39.7"
"BIH","17.78584332","44.16845548","70","Bosnia and Herzegovina","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Public Enterprise PTT Bosnia and Herzegovina (PTT BIH).","Public Enterprise PTT Bosnia and Herzegovina (PTT BIH).","Communications Regulatory Agency B & H.","ITU estimate.","Communications Regulatory Agency B & H.","Communications Regulatory Agency B & H.","Communications Regulatory Agency B & H.","Communication Regulatory Agency","Communication Regulatory Agency","Communication Regulatory Agency","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","Agency for statistics.","","","","","","","","","","","","","","","","","","1.1","1.2","2.6","4.0","15.5","21.3","25.1","27.9","34.7","37.7","42.8","43.9","45.1","48.5","49.9","52.6","54.7",2016.0,"54.7"
"BWA","23.81380223","-22.18810073","72","Botswana","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Botswana Telecommunication Corporation.","Botswana Telecommunication Corporation.","Botswana Telecommunication Corporation.","Botswana Telecommunications Authority (BTA).","Botswana Telecommunications Authority (BTA).","ITU estimate.","Botswana Telecommunications Authority (BTA).","BOTSWANA TELECOMMUNICATIONS AUTHORITY","BOTSWANA TELECOMMUNICATIONS AUTHORITY","Estimate from BOTSWANA TELECOMMUNICATIONS AUTHORITY","Botswana Telecommunications Authority","RIA.","ITU estimate.","ITU estimate.","Central Statistics Office.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","2.9","3.4","3.4","3.3","3.3","3.3","4.3","5.3","6.3","6.2","6.0","9.0","16.0","30.0","36.7","37.3","39.4",2016.0,"39.4"
"SWZ","31.50149288","-26.56471011","748","Eswatini","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SwaziMTN 3G Network & SPTC 1x EV DO + ISPs Networks +ISPs","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Swaziland Posts and Telecommunications Corporation (STPC).","Swaziland Posts and Telecommunications Corporation (STPC).","Swaziland Posts and Telecommunications Corporation (STPC).","Swaziland Posts and Telecommunications Corporation (STPC).","Swaziland Posts and Telecommunications Corporation (STPC).","ITU estimate.","Swaziland Posts and Telecommunications Corporation (STPC).","Swaziland Posts and Telecommunications Corporation","Swaziland Posts and Telecommunications Corporation","Swaziland Posts and Telecommunications Corporation","Swaziland Posts and Telecommunications Corporation","Swaziland Posts and Telecommunications Corporation","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.9","1.3","1.8","2.4","3.2","3.7","3.7","4.1","6.9","8.9","11.0","18.1","20.8","24.7","26.2","25.6","28.6",2016.0,"28.6"
"","","","753","Eastern and South-Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","Data based on the World Telecommunication/ICT Indicators Database, 2017, International Telecommunication Union (ITU)","","","","","","","","","","","","","","","","","","5.0","6.6","8.7","10.2","12.3","13.9","15.8","20.1","24.7","29.0","33.9","37.1","40.5","43.9","46.2","49.2","52.4",2016.0,"52.4"
